key	英文原文	当前中文	修改列(填这里覆盖)	备注
DesignerParts.Block1.Block.Name	Block	方块		
DesignerParts.Block1.Block.Description	Just a simple block.	一个简单的方块。		
DesignerParts.Camera1.Camera.Name	Camera	相机		
DesignerParts.Camera1.Camera.Description	Attach to your craft to add new views that you can cycle through during flight.	装到载具上可添加新视角，飞行中可循环切换。		
DesignerParts.CargoBay1.CargoBay.Name	Cargo Bay	货舱		
DesignerParts.CargoBay1.CargoBay.Description	Cargo bay that can hold stuff and comes with two hinged doors by default.	可装载物品的货舱，默认带两扇铰链门。		
DesignerParts.CargoBay1.SmallBay.Name	Small Bay	小货舱		
DesignerParts.CargoBay1.SmallBay.Description	Cargo bay that can hold stuff and comes with a single sliding door by default.	可装载物品的货舱，默认带一扇滑动门。		
DesignerParts.Cockpit1.CockpitBase.Name	Cockpit Base	座舱底座		
DesignerParts.CockpitBundle.Cockpit.Name	Cockpit	座舱		
DesignerParts.CockpitBundle.Cockpit.Description	It's a cockpit. For planes, or whatever.	就是个座舱。给飞机用，或者随便什么。		
DesignerParts.CockpitCanopy1.CockpitCanopy.Name	Cockpit Canopy	座舱罩		
DesignerParts.CommandChip1.CommandChip.Name	Command Chip	指令芯片		
DesignerParts.CommandChip1.CommandChip.Description	Compact and lightweight alternative to using a Space Capsule for controlling a craft.	比用太空舱控制载具更紧凑、更轻便的选择。		
DesignerParts.CommandDisc1.CommandDisc.Name	Command Disc	指令盘		
DesignerParts.CommandDisc1.CommandDisc.Description	A pack combining a command chip with room for batteries and gyroscopes, giving you all you need to control your craft in a single, more configurable part.	集成了指令芯片，并留有电池和陀螺仪空间的组件，用单个更易配置的零件满足控制载具所需。		
DesignerParts.CommandPod1.CommandPod.Name	Command Pod	指令舱		
DesignerParts.CommandPod1.CommandPod.Description	Controls the craft. Every rocket must have at least one command pod. This command pod has a built-in gyroscope for attitude control. Batteries are included.	控制载具。每枚火箭至少需要一个指令舱。该指令舱内置姿态控制陀螺仪。已含电池。		
DesignerParts.CommandPod2.KomodoCommandPod.Name	Komodo Command Pod	Komodo 指令舱		
DesignerParts.CommandPod2.KomodoCommandPod.Description	Space capsule which includes a small amount of fuel and built-in engines.	太空舱，含少量燃料和内置发动机。		
DesignerParts.CommandPod3.PatriotCapsule.Name	Patriot Capsule	爱国者舱		
DesignerParts.CommandPod3.PatriotCapsule.Description	Space capsule that has a bit more legroom than the alternatives. Great capsule if you love your country and if you have the money.	腿部空间比其他太空舱稍大一些。如果你热爱你的国家而且有钱，这是个很棒的选择。		
DesignerParts.CommandPod4.SpaceCapsule.Name	Space Capsule	太空舱		
DesignerParts.CommandPod4.SpaceCapsule.Description	Controls the craft. Every rocket must have at least one capsule or command chip. Includes built-in gyroscope for attitude control. Batteries are included.	控制载具。每枚火箭至少需要一个太空舱或指令芯片。内置姿态控制陀螺仪。已含电池。		
DesignerParts.CommandPod5.VrozSpaceCapsule.Name	Vroz Space Capsule	Vroz 太空舱		
DesignerParts.CommandPod5.VrozSpaceCapsule.Description	Controls the craft. Every rocket must have at least one capsule or command chip. This capsule has a built-in gyroscope for attitude control. Batteries are included.	控制载具。每枚火箭至少需要一个太空舱或指令芯片。该太空舱内置姿态控制陀螺仪。已含电池。		
DesignerParts.CommandPod6.VrozOrbitalModule.Name	Vroz Orbital Module	Vroz 轨道舱		
DesignerParts.CommandPod6.VrozOrbitalModule.Description	Spherical space capsule that fits quite nicely on top of the Vroz Descent Module in case you want to bring more people into space.	球形太空舱，能很好地装在 Vroz 下降舱顶部，适合你想把更多人送上太空时使用。		
DesignerParts.CrewCompartment.SpaceHabitat.Name	Space Habitat	太空居住舱		
DesignerParts.CrewCompartment.SpaceHabitat.Description	A fuselage capable of holding crew inside, but with a very low density. Ideal for large vehicles such as spaceships, space stations and the like.	可容纳乘员的机身，但密度很低。适合飞船、空间站等大型载具。		
DesignerParts.CrewCompartment.CrewCompartment.Name	Crew Compartment	乘员舱		
DesignerParts.CrewCompartment.CrewCompartment.Description	A fuselage that holds crew with a high density of seats, but a limited working pressure range. Under too much or too little pressure, it takes damage.	座椅密度很高的乘员机身，但工作压力范围有限。压力过高或过低都会受损。		
DesignerParts.Detacher1.Interstage.Name	Interstage	级间段		
DesignerParts.Detacher1.Interstage.Description	Use this to split your craft into stages.	用它把载具分成多级。		
DesignerParts.DetacherSide1.SideInterstage.Name	Side Interstage	侧挂级间段		
DesignerParts.DetacherSide1.SideInterstage.Description	Interstage that is designed to connect to the side of a fuel tank, but can connect to other places, too.	为连接燃料箱侧面而设计的级间段，但也能连接到其他位置。		
DesignerParts.DockingPort1.DockingPort.Name	Docking Port	对接口		
DesignerParts.DockingPort1.DockingPort.Description	Allows connecting two crafts in flight so they can be friends and transfer fuel.	让两个载具在飞行中对接，从而做朋友并互相输送燃料。		
DesignerParts.ElectricMotor1.ElectricMotorold.Name	Electric Motor (old)	电动机（旧版）		
DesignerParts.ElectricMotor1.ElectricMotorold.Description	Motor that can continuously rotate parts. Uses Electricity.	可连续旋转零件的电动机。消耗电力。		
DesignerParts.ElectricMotor2.ElectricMotor.Name	Electric Motor	电动机		
DesignerParts.ElectricMotor2.ElectricMotor.Description	Motor that can continuously rotate parts. Uses Electricity.	可连续旋转零件的电动机。消耗电力。		
DesignerParts.Engine1.MageIEngine.Name	Mage I Engine	Mage I 发动机		
DesignerParts.Engine1.MageIEngine.Description	Powerful engine that can be used for takeoff and orbiting. Not a great choice for landing on moons.	推力强劲，可用于起飞和入轨。不太适合在卫星上着陆。		
DesignerParts.Engine2.PixieIEngine.Name	Pixie I Engine	Pixie I 发动机		
DesignerParts.Engine2.PixieIEngine.Description	Lower power engine useful for second stages and landing on small planetary bodies.	推力较低，适合二级和小天体着陆。		
DesignerParts.Engine3.ApexIEngine.Name	Apex I Engine	Apex I 发动机		
DesignerParts.Engine3.ApexIEngine.Description	It's heavy, expensive, and drinks RP-1 like there's no tomorrow, but it will have the power to get even your most poorly engineered contraptions into space.	又重又贵，喝 RP-1 像不要命一样，但推力足够把你设计得最糟糕的玩意儿送上太空。		
DesignerParts.Eva-Tourist.Tourist.Name	Tourist	游客		
DesignerParts.Eva-Tourist.Tourist.Description	They pay money to go places, but sadly they lack jetpacks and grappling hooks, how useless...	他们会花钱去各处，可惜没有喷气背包和抓钩，真没用……		
DesignerParts.Eva.Drood.Name	Drood	Drood		
DesignerParts.Eva.Drood.Description	A mysterious being that resembles an Earthling. They can be a bit fragile but are great at exploring and piloting. Put them into cockpits, cabins, or seats to control your crafts even without power, and get them out in flight to have a walk.	一种形似地球人的神秘生物。有时有点脆弱，但非常擅长探索和驾驶。把他们放进座舱、客舱或座椅，即使没有电力也能操控载具；飞行中让他们出舱就能走走。		
DesignerParts.EvaChair1.Chair.Name	Chair	座椅		
DesignerParts.EvaChair1.Chair.Description	Astronauts will stand as long as you ask them to, but sometimes it's nice to give them a break and let them sit down.	只要你要求，航天员就会一直站着，但偶尔让他们坐下来歇歇也不错。		
DesignerParts.Fairing1.Fairing.Name	Fairing	整流罩		
DesignerParts.Fairing1.Fairing.Description	Protects precious cargo on its way to space. 	在飞往太空途中保护珍贵的载荷。		
DesignerParts.FairingBase1.FairingBase.Name	Fairing Base	整流罩底座		
DesignerParts.FairingBase1.FairingBase.Description	The base of your fairings. When using fairings, this must be the first part you connect to your craft.	整流罩的底座。使用整流罩时，必须最先把它连接到载具上。		
DesignerParts.FairingNoseCone1.FairingNoseCone.Name	Fairing Nose Cone	整流罩头锥		
DesignerParts.FairingNoseCone1.FairingNoseCone.Description	Nose cone specially designed to only connect to fairings.	专门设计为只能连接整流罩的头锥。		
DesignerParts.Fin1.Fin.Name	Fin	尾翼		
DesignerParts.Fin1.Fin.Description	Smaller wing section designed for rockets.	为火箭设计的较小翼面。		
DesignerParts.FuelAdapter1.FuelAdapter.Name	Fuel Adapter	燃料转接器		
DesignerParts.FuelAdapter1.FuelAdapter.Description	Makes it easier to connect engines to odd places on fuel tanks.	让发动机更容易连接到燃料箱上那些别扭的位置。		
DesignerParts.Fuselage1.FuelTank.Name	Fuel Tank	燃料箱		
DesignerParts.Fuselage1.FuelTank.Description	Versatile fuel tank that can be resized into many shapes and can hold many different types of fuel.	多用途燃料箱，可调整成多种形状，并能容纳多种不同类型的燃料。		
DesignerParts.Fuselage1.BatteryPack.Name	Battery Pack	电池组		
DesignerParts.Fuselage1.BatteryPack.Description	A properly sized, handy fuel tank preset to hold battery, in case you don't feel like using the built-in battery of a command disc.	尺寸合适、方便好用的燃料箱预设，用于装电池，以防你不想用指令盘自带的电池。		
DesignerParts.Fuselage1.BatteryTank.Name	Battery Tank	电池箱		
DesignerParts.Fuselage1.BatteryTank.Description	If you don't worry about weight and you don't feel like bringing some solar panels with you, this clearly over-sized battery will do.	如果你不在乎重量，也不想带太阳能板，这个明显超大的电池就够用了。		
DesignerParts.Gauge1.GaugeTop.Name	Gauge Top	仪表顶部		
DesignerParts.GaugeBase1.GaugeBase.Name	Gauge Base	仪表底座		
DesignerParts.GaugeBundle.Gauge.Name	Gauge	仪表		
DesignerParts.GaugeBundle.Gauge.Description	Radial gauge, for displaying input.	径向仪表，用于显示输入。		
DesignerParts.Generator1.FuelCell.Name	Fuel Cell	燃料电池		
DesignerParts.Generator1.FuelCell.Description	A generator that turns fuel into power. It's far from efficient at burning it, but can be a lighter, more compact alternative to large batteries.	把燃料转化为电力的发电机。燃烧效率并不高，但可以比大电池更轻、更紧凑。		
DesignerParts.Generator2.RTG.Name	RTG	RTG		
DesignerParts.Generator2.RTG.Description	Radioisotope Thermal Generators act as a passive power source thanks to their insanely radioactive plutonium core. With one you can have power anywhere in the system, but it doesn't come cheap.	放射性同位素温差发电机凭借其放射性强到夸张的钚核心作为被动电源。有了它，你在星系中任何地方都能有电，但价格不便宜。		
DesignerParts.Gyroscope1.Gyroscope.Name	Gyroscope	陀螺仪		
DesignerParts.Gyroscope1.Gyroscope.Description	Allows attitude control without thrust. \nUses electricity.	无需推力即可进行姿态控制。\n消耗电力。		
DesignerParts.HeatShield1.HeatShield.Name	Heat Shield	隔热罩		
DesignerParts.HeatShield1.HeatShield.Description	Provides protection from intense heat during re-entry.	在再入时提供高温防护。		
DesignerParts.HingeRotator1.HingeRotator.Name	Hinge Rotator	铰链旋转器		
DesignerParts.HingeRotator1.HingeRotator.Description	Small motor that can rotate parts around a hinge.	可让零件绕铰链旋转的小型电机。		
DesignerParts.Inlet1.Inlet.Name	Inlet	进气道		
DesignerParts.Inlet1.Inlet.Description	Inlets suck in air for jet engines. Make sure the front of the inlet isn't blocked by other parts, because that can obstruct its airflow.	进气道为喷气发动机吸入空气。确保进气道前方没有被其他零件挡住，否则会阻碍气流。		
DesignerParts.IonEngine1.IonEngine.Name	Ion Engine	离子发动机		
DesignerParts.IonEngine1.IonEngine.Description	Extremely low power, high-efficiency engine that expels ions at nearly 50km/s. Requires electricity.	推力极低但效率极高的发动机，以近 50km/s 的速度喷出离子。需要电力。		
DesignerParts.JetEngine1.PegasusEngine.Name	Pegasus Engine	Pegasus 发动机		
DesignerParts.JetEngine1.PegasusEngine.Description	High-bypass jet engines are the most fuel efficient style of jet engines, and are more commonly found on passenger airplanes where money matters.	高涵道比喷气发动机是最省油的喷气发动机类型，常见于比较在意钱的客机上。		
DesignerParts.JetEngine1.GriffinEngine.Name	Griffin Engine	Griffin 发动机		
DesignerParts.JetEngine1.GriffinEngine.Description	A low-bypass jet engine that trades fuel efficiency for more thrust. It also includes an afterburner, which significantly boosts thrust and makes it totally rad.	低涵道比喷气发动机，牺牲燃油效率来换取更大推力。它还带加力燃烧室，能显著提升推力，非常带劲。		
DesignerParts.JetEngine1.CerberusEngine.Name	Cerberus Engine	Cerberus 发动机		
DesignerParts.JetEngine1.CerberusEngine.Description	Indecisive about where to go? Fear no more! This jet engine blends the best of both worlds, feeding extra oxygen to its afterburner so it works even in space.	纠结要去哪儿？不用怕！这款喷气发动机融合两者所长，为加力燃烧室额外供氧，在太空中也能工作。		
DesignerParts.JetEngine1.MinotaurEngine.Name	Minotaur Engine	Minotaur 发动机		
DesignerParts.JetEngine1.MinotaurEngine.Description	With a great balance between power and efficiency, mid-bypass turbofans are the perfect choice for mid size planes and small and fancy private jets.	中涵道比涡扇发动机在推力与效率之间平衡得极好，是中型飞机和精致小型私人喷气机的完美选择。		
DesignerParts.JetEngine1.CentaurEngine.Name	Centaur Engine	Centaur 发动机		
DesignerParts.JetEngine1.CentaurEngine.Description	Turbojets are the oldest and least efficient jet engines. These were designed before engineers knew that redirecting some air around the core was more fuel efficient and produced more thrust.	涡喷是最古老、效率最低的喷气发动机。它们诞生于工程师还不知道让部分气流绕过核心更省油、推力更大之前。		
DesignerParts.KomodoBundle.KomodoCapsule.Name	Komodo Capsule	Komodo 舱		
DesignerParts.KomodoBundle.KomodoCapsule.Description	Command pod which includes a small amount of fuel, built-in engines, and a rotating nose cone.	指令舱，含少量燃料、内置发动机和可旋转头锥。		
DesignerParts.Label1.Label.Name	Label	标签		
DesignerParts.Label1.Label.Description	Displays text. For labeling stuff, or whatever.	显示文字。用来给东西贴标签，或者随便什么。		
DesignerParts.LandingGear1.AirplaneLandingGear.Name	Airplane Landing Gear	飞机起落架		
DesignerParts.LandingGear1.AirplaneLandingGear.Description	Customizable landing gear.	可自定义的起落架。		
DesignerParts.LandingGear1.SmallLandingGear.Name	Small Landing Gear	小型起落架		
DesignerParts.LandingGear1.SmallLandingGear.Description	Customizable landing gear.	可自定义的起落架。		
DesignerParts.LandingLeg1.LandingLeg.Name	Landing Leg	着陆支腿		
DesignerParts.LandingLeg1.LandingLeg.Description	Useful for landing without smashing your engine into the ground.	让你着陆时不会把发动机砸进地面。		
DesignerParts.LandingLeg2.MerlinLeg.Name	Merlin Leg	Merlin 支腿		
DesignerParts.LandingLeg2.MerlinLeg.Description	A sturdy set of legs useful for landing without smashing your engines into the ground, with great aero for how far they can deploy	一套结实的支腿，让你着陆时不会把发动机砸进地面，展开幅度很大却气动优良		
DesignerParts.LandingLeg3.KISLeg.Name	KIS Leg	KIS 支腿		
DesignerParts.LandingLeg3.KISLeg.Description	A very advanced and modern landing leg that will allow you to bring down the rockets of the future	非常先进现代的着陆支腿，能让你降下未来的火箭		
DesignerParts.LandingLeg4.PistonLeg.Name	Piston Leg	活塞支腿		
DesignerParts.LandingLeg4.PistonLeg.Description	A small and simple landing leg, capable of slowing down the impact on moon landers	小巧简单的着陆支腿，能减缓卫星着陆器受到的冲击		
DesignerParts.Light1.Light.Name	Light	灯		
DesignerParts.Light1.Light.Description	Use these to help light your way.	用它们为你照亮道路。		
DesignerParts.Mfd1.MultifunctionDisplay.Name	Multi-function Display	多功能显示器		
DesignerParts.Mfd1.MultifunctionDisplay.Description	Runs special Vizzy programs to display interactive widgets during flight.	运行专用的 Vizzy 程序，在飞行中显示交互式组件。		
DesignerParts.NoseCone1.NoseCone.Name	Nose Cone	头锥		
DesignerParts.NoseCone1.NoseCone.Description	When used correctly, nose cones can reduce drag.	正确使用时，头锥能降低阻力。		
DesignerParts.NoseCone1.Hemisphere.Name	Hemisphere	半球		
DesignerParts.NoseCone1.Hemisphere.Description	Half a sphere. Two of these make a ball. Don't expect them to roll nice though, the collider is just a cone, sadly.	半个球体。两个就能拼成一个球。不过别指望它们滚得很顺，可惜碰撞体只是个锥形。		
DesignerParts.Package.Package.Name	Package	包裹		
DesignerParts.Package.Package.Description	A container with unknown contents.	内容物未知的容器。		
DesignerParts.Parachute1.Parachute.Name	Parachute	降落伞		
DesignerParts.Parachute1.Parachute.Description	With this you should hopefully touch down with a more gentle touch, but don't push them too far or they will break.	有了它，你触地时应该会轻柔一些，但别用得太狠，否则它们会损坏。		
DesignerParts.Parachute1.DrogueChute.Name	Drogue Chute	减速伞		
DesignerParts.Parachute1.DrogueChute.Description	Activate these in an atmosphere to reduce your chances of rapid unplanned disassembly.	在大气中启动它们，可降低你意外快速解体的概率。		
DesignerParts.Piston1.Piston.Name	Piston	活塞		
DesignerParts.Piston1.Piston.Description	Push parts away from each other with a customizable hydraulic piston.	用可自定义的液压活塞把零件彼此推开。		
DesignerParts.PropellerAssembly1.SkylineProp.Name	Skyline Prop	Skyline 螺旋桨		
DesignerParts.PropellerAssembly1.SkylineProp.Description	Your classic civilian small aircraft propeller, suited for the early crafts that require well rounded performance for cheap.	经典民用小型飞机螺旋桨，适合早期那些需要便宜且性能均衡的载具。		
DesignerParts.PropellerBundles.SkylineProp.Name	Skyline Prop	Skyline 螺旋桨		
DesignerParts.PropellerBundles.SkylineProp.Description	Your classic civilian small aircraft propeller, suited for the early crafts that require well rounded performance for cheap.	经典民用小型飞机螺旋桨，适合早期那些需要便宜且性能均衡的载具。		
DesignerParts.PropellerBundles.InterceptorProp.Name	Interceptor Prop	Interceptor 螺旋桨		
DesignerParts.PropellerBundles.InterceptorProp.Description	A large propeller perfect for large aircraft, a couple of these will provide the thrust you need to get things going.	适合大型飞机的大尺寸螺旋桨，装几个就能提供让东西动起来所需的推力。		
DesignerParts.PropellerBundles.ExplorerProp.Name	Explorer Prop	Explorer 螺旋桨		
DesignerParts.PropellerBundles.ExplorerProp.Description	A set of powerful lightweight blades perfect for vertical take-off and landing.	一套强劲轻巧的桨叶，非常适合垂直起降。		
DesignerParts.PropellerBundles.StriderProp.Name	Strider Prop	Strider 螺旋桨		
DesignerParts.PropellerBundles.StriderProp.Description	Modern and efficient blades ideal for long-range flight, just make sure you keep your fingers away from it.	现代高效的桨叶，适合远程飞行，只要记得别把手指伸进去。		
DesignerParts.PropellerBundles.VortexProp.Name	Vortex Prop	Vortex 螺旋桨		
DesignerParts.PropellerBundles.VortexProp.Description	A small boat propeller. The Oceans are yours now! Well, more like lakes, but you get the point.	小型船用螺旋桨。海洋现在是你的了！好吧，其实更像湖泊，但你懂意思。		
DesignerParts.PropellerBundles.RiptideProp.Name	Riptide Prop	Riptide 螺旋桨		
DesignerParts.PropellerBundles.RiptideProp.Description	A large boat propeller for long-range trips and huge ships, made of heavy steel, so get ahold of a beefy motor for it.	用于远航和巨型船只的大型船用螺旋桨，由重型钢材制成，所以得配个强劲的电机。		
DesignerParts.RCSNozzle1.RCSNozzle.Name	RCS Nozzle	RCS 喷管		
DesignerParts.RCSNozzle1.RCSNozzle.Description	Reaction control nozzles help provide precise attitude control. Uses monopropellant.	反作用控制喷管可提供精确的姿态控制。消耗单元推进剂。		
DesignerParts.RCSNozzle2.MultiDirectionalRCS.Name	Multi Directional RCS	多向 RCS		
DesignerParts.RCSNozzle2.MultiDirectionalRCS.Description	A reaction control nozzle that gimbals for far greater control than a standard RCS nozzle. Some say it can do the work of five normal RCS nozzles.	可矢量摆动的反作用控制喷管，操控能力远超标准 RCS 喷管。有人说它能顶五个普通 RCS 喷管。		
DesignerParts.RocketEngine1.SpiritEngine.Name	Spirit Engine	Spirit 发动机		
DesignerParts.RocketEngine1.SpiritEngine.Description	This engine is not about power, but about precision. Capable of small orbit and attitude adjustments, this engine is a must in any deep space mission.	这款发动机不追求推力，而追求精度。能进行小幅轨道和姿态调整，是任何深空任务的必备。		
DesignerParts.RocketEngine1.GnomeEngine.Name	Gnome Engine	Gnome 发动机		
DesignerParts.RocketEngine1.GnomeEngine.Description	As close as a deflating balloon you can get in terms of complexity, but also in terms of thrust.	复杂程度上最接近一个泄气的气球，推力上也一样。		
DesignerParts.RocketEngine1.PixieEngine.Name	Pixie Engine	Pixie 发动机		
DesignerParts.RocketEngine1.PixieEngine.Description	Low-power engine useful for second stages and landing on small bodies. Its electric pump allows a quick start and very low throttling, but requires some batteries on board.	低推力发动机，适合二级和小天体着陆。电动泵使其能快速启动并实现极低油门，但需要机上带一些电池。		
DesignerParts.RocketEngine1.DragonEngine.Name	Dragon Engine	Dragon 发动机		
DesignerParts.RocketEngine1.DragonEngine.Description	Highly efficient nuclear thermal engine. Warning: Do not lick.	高效核热发动机。警告：请勿舔。		
DesignerParts.RocketEngine1.MageEngine.Name	Mage Engine	Mage 发动机		
DesignerParts.RocketEngine1.MageEngine.Description	Powerful engine that can be used for takeoff and orbiting. Not a great choice for landing on moons.	推力强劲，可用于起飞和入轨。不太适合在卫星上着陆。		
DesignerParts.RocketEngine1.WyvernEngine.Name	Wyvern Engine	Wyvern 发动机		
DesignerParts.RocketEngine1.WyvernEngine.Description	A sophisticated methalox engine with great efficiency thanks to one of the most advanced pump systems ever seen.	精密的甲烷-液氧发动机，凭借史上最先进的泵系统之一实现了出色效率。		
DesignerParts.RocketEngine1.TitanEngine.Name	Titan Engine	Titan 发动机		
DesignerParts.RocketEngine1.TitanEngine.Description	Powerful and efficient engine that uses hydrolox and staged combustion.	使用液氢液氧和分级燃烧的强劲高效发动机。		
DesignerParts.RocketEngine1.ApexEngine.Name	Apex Engine	Apex 发动机		
DesignerParts.RocketEngine1.ApexEngine.Description	It's heavy, expensive, and drinks RP-1 like there's no tomorrow, but it will have the power to get even your most poorly engineered contraptions into space.	又重又贵，喝 RP-1 像不要命一样，但推力足够把你设计得最糟糕的玩意儿送上太空。		
DesignerParts.RocketEngine1.GoblinSolidMotor.Name	Goblin Solid Motor	Goblin 固体发动机		
DesignerParts.RocketEngine1.GoblinSolidMotor.Description	Sugar, spice and everything nice. The favorite toy of any rocket nerd.	糖、香料，一切美好的东西。每个火箭迷最爱的玩具。		
DesignerParts.RocketEngine1.IfritSolidBooster.Name	Ifrit Solid Booster	Ifrit 固体助推器		
DesignerParts.RocketEngine1.IfritSolidBooster.Description	Powerful and cheap, but inefficient. Cannot be shut down once ignited.	强劲又便宜，但效率不高。一旦点燃就无法关机。		
DesignerParts.RocketEngine1.PhoenixSolidBooster.Name	Phoenix Solid Booster	Phoenix 固体助推器		
DesignerParts.RocketEngine1.PhoenixSolidBooster.Description	An extremely powerful solid rocket motor. Brute forces its usefulness through sheer power with no concern for efficiency whatsoever.	推力极强的固体火箭发动机。靠纯粹的暴力推力证明自己的用处，完全不考虑效率。		
DesignerParts.RocketEngine1.ChimeraSolidBooster.Name	Chimera Solid Booster	Chimera 固体助推器		
DesignerParts.RocketEngine1.ChimeraSolidBooster.Description	An extremely powerful solid rocket motor with a gimbal. This beast can flex its muscles when necessary.	带矢量摆动的超强固体火箭发动机。这头猛兽必要时能秀一把肌肉。		
DesignerParts.RotatingNoseCone1.KomodoNoseCone.Name	Komodo Nose Cone	Komodo 头锥		
DesignerParts.Rotator1.Rotator.Name	Rotator	旋转器		
DesignerParts.Rotator1.Rotator.Description	Small motor that can rotate parts.	可旋转零件的小型电机。		
DesignerParts.RoverWheel1.CarWheel.Name	Car Wheel	汽车轮		
DesignerParts.RoverWheel1.CarWheel.Description	Resizable wheels that have a built-in electric motor. 	尺寸可调的轮子，内置电动机。		
DesignerParts.RoverWheel1.OffroadWheel.Name	Offroad Wheel	越野轮		
DesignerParts.RoverWheel1.OffroadWheel.Description	Resizable wheels that have a built-in electric motor. 	尺寸可调的轮子，内置电动机。		
DesignerParts.Shock1.Shock.Name	Shock	减震器		
DesignerParts.Shock1.Shock.Description	Shocks are useful when you want to soften impact with terra firma.	想减缓与大地接触的冲击时，减震器很有用。		
DesignerParts.SolarPanel1.SolarPanel.Name	Solar Panel	太阳能板		
DesignerParts.SolarPanel1.SolarPanel.Description	Single, stationary solar panel that can be resized.	单片固定式太阳能板，尺寸可调。		
DesignerParts.SolarPanelArray.SolarPanelArray.Name	Solar Panel Array	太阳能板阵列		
DesignerParts.SolarPanelArray.SolarPanelArray.Description	Configurable solar panel array that stows away into a remarkably small space.	可配置的太阳能板阵列，收起后占用空间极小。		
DesignerParts.StructuralPanel1.StructuralPanel.Name	Structural Panel	结构板		
DesignerParts.StructuralPanel1.StructuralPanel.Description	It may look like a wing, but it has no wing physics simulation. Great when you need lots of wing-like shapes but don't care if they generate lift. They use less processing power than a normal wing, so your design runs a little faster.	它看起来像机翼，但没有机翼物理模拟。当你需要大量翼状外形却不在意是否产生升力时非常合适。它们比普通机翼占用更少运算资源，因此你的设计运行会稍快一些。		
DesignerParts.Strut1.Strut.Name	Strut	支撑杆		
DesignerParts.Strut1.Strut.Description	Resizable strut that can help bolster your crafts.	尺寸可调的支撑杆，可增强载具结构。		
DesignerParts.TestPilot.TestDummy.Name	Test Dummy	测试假人		
DesignerParts.TestPilot.TestDummy.Description	Human like device that can be used to monitor the safety of your crafts.	类似人体的装置，可用于监测载具的安全性。		
DesignerParts.ToggleSwitch1.ToggleSwitch.Name	Toggle Switch	拨动开关		
DesignerParts.ToggleSwitch1.ToggleSwitch.Description	Switches when toggled.	拨动时切换。		
DesignerParts.Wing1.Wing.Name	Wing	机翼		
DesignerParts.Wing1.Wing.Description	Large wing section designed with airplanes in mind.	为飞机设计的大型翼面。		
Download.Celestial.DownloadingFilesFormat	Downloading Files... {0:F1}%	正在下载文件…… {0:F1}%		
Download.Celestial.PromptLoadPlanetStudio	Download Succeeded. \n\nDo you want to load the downloaded item in Planet Studio?	下载成功。\n\n是否要在行星工坊中加载已下载的项目？		
Download.Celestial.SuccessMessage	Download Succeeded!	下载成功！		
Download.Celestial.UnableToDetermineResourcesByPostFormat	Unable to determine resources required by post '{0}'	无法确定帖子「{0}」所需的资源		
Download.Celestial.UnableToDetermineResourcesByResourceFormat	Unable to determine resources required by resource '{0}'	无法确定资源「{0}」所需的资源		
Download.Content.CancelButton	CANCEL	取消		
Download.Content.CustomSystemsFeatureMessage	unlock support for downloading community planets and planetary systems.	解锁下载社区行星和行星系的支持。		
Download.Content.DownloadButton	DOWNLOAD	下载		
Download.Content.DownloadingFormat	Downloading: {0}%	正在下载：{0}%		
Download.Content.HashMismatchFormat	The id of the installed resource file '{0}' does not match the id of the downloaded resource file '{1}'.	已安装资源文件「{0}」的 id 与已下载资源文件「{1}」的 id 不匹配。		
Download.Content.Processing	Processing...	处理中……		
Download.Content.SizePromptFormat	This content requires {0} files to be downloaded. \n\nEstimated download size: {1}.\n\n	此内容需要下载 {0} 个文件。\n\n预计下载大小：{1}。\n\n		
Download.Content.UnableToFindResourceFormat	Unable to find required resource file '{0}' on the server.	服务器上找不到所需的资源文件「{0}」。		
Download.Content.UnexpectedFailureFormat	An unexpected failure occurred: {0}	发生意外错误：{0}		
Download.ContentResult.CommunicationFailure	Failed to download. Please verify your Internet connection and try again.	下载失败。请检查网络连接后重试。		
ErrorMonitoring.UnreportedErrorsPrompt	It looks like a problem occurred earlier. Would you help improve the game? Click Okay to send us a bug report.	看起来之前出现了问题。愿意帮我们改进游戏吗？点击确定向我们发送错误报告。		
Flight.Benchmark.CommentPrompt	Enter a comment for the benchmark.	为基准测试输入一条备注。		
Flight.CraftRecovery.FailNoLocationsFormat	There are no recovery locations available on {0}.	{0} 上没有可用的回收地点。		
Flight.CraftRecovery.FailNotEnoughParts	This craft does not have any parts to recover.	该载具没有可回收的零件。		
Flight.CraftRecovery.FailNotGrounded	The craft cannot be recovered because it is not on the ground.	载具不在陆地上，无法回收。		
Flight.CraftRecovery.FailTooFast	The craft cannot be recovered because it is moving too fast.	载具移动速度过快，无法回收。		
Flight.CraftRecovery.RecoveryDestroyPromptFormat	{0}\n\nWould you like to destroy this craft instead?	{0}\n\n要改为摧毁该载具吗？		
Flight.CraftRecovery.HeaderFormat	<size=125%>RECOVER CRAFT</size>	<size=125%>回收载具</size>		
Flight.CraftRecovery.ClosestLocationFormat	The closest recovery location is {0} which is {1}	最近的回收地点是 {0}，距离{1}		
Flight.CraftRecovery.VeryClose	very close.	非常近。		
Flight.CraftRecovery.DistanceAwayFormat	{0} away.	距离 {0}。		
Flight.CraftRecovery.BodyRecoupSingularFormat	You can recover {0} part from this craft and recoup {1}.	你可以从该载具回收 {0} 个零件，并收回 {1}。		
